word,count
ice,225
funk,225
summer,224
called,224
talkin',224
jesus,224
nothin',224
most,223
bet,223
promise,220
lil,220
nice,220
whats,220
bit,219
apart,218
afraid,217
lips,214
already,214
cash,214
spend,213
minute,213
stupid,212
five,212
earth,211
you'd,211
running,211
de,211
rise,210
speak,210
train,210
wear,210
weed,210
we've,208
seem,207
couple,207
family,207
keys,206
holy,206
missy,206
story,204
wouldn't,204
yours,203
dirty,203
doin',203
dj,203
takes,202
kick,202
calling,202
shut,202
welcome,201
yea,201
fear,201
follow,201
ok,201
father,200
lookin',200
spit,200
lies,199
hundred,199
above,198
doesn't,198
diamond,198
jack,198
freak,198
comin',197
goodbye,196
wasn't,196
which,196
goin,196
scream,195
worry,195
small,194
blame,193
drunk,193
ball,193
bust,193
shoot,192
laugh,192
style,192
bone,192
across,191
ones,191
taste,190
died,190
ma,190
space,189
write,189
voice,189
against,189
guy,189
great,188
thousand,188
imma,188
woo,187
theres,187
hide,186
worth,186
sign,186
bang,186
brain,185
somewhere,185
diamonds,185
looked,184
ten,184
joy,183
higher,183
favorite,182
cannot,182
six,182
scared,181
learn,181
key,181
meant,179
dear,179
'round,179
reach,179
brand,179
paper,179
crack,179
second,179
track,179
sexy,179
fill,178
picture,178
tryin,178
future,177
cuz,177
stick,177
everyone,176
shoes,176
s,176
momma,176
walking,175
brown,175
outta,174
fucked,174
breath,173
almost,173
sad,172
knees,172
prayer,172
tree,172
cars,172
business,172
turned,171
treat,171
keeps,171
falling,170
ay,170
bum,170
peace,169
lift,169
breathe,168
looks,167
supposed,166
paid,166
everywhere,165
probably,165
naked,165
gettin,165
fresh,164
piece,164
kinda,164
spot,164
mirror,163
ive,163
outside,162
funny,162
few,162
yah,162
ran,161
quick,161
homie,161
giving,160
singing,160
grow,159
queen,159
anymore,158
playing,158
hang,158
telling,158
p,158
ur,158
carry,157
least,157
means,157
magic,157
skin,157
n,157
rather,156
jump,156
dancing,156
anybody,156
tryin',156
yellow,156
stone,155
wings,155
near,155
mary,155
fat,155
bridge,154
cup,154
needs,154
nowhere,153
glad,153
kid,153
booty,153
fake,152
id,152
asked,152
bobby,152
nights,151
job,151
human,151
reasons,150
tear,150
lovin',150
birthday,150
leaving,149
everyday,149
bottom,149
michael,149
fix,148
played,147
grind,147
hoe,147
teeth,147
wayne,147
wife,146
shout,146
angel,146
crying,146
lookin,145
west,144
finally,144
known,144
middle,144
miles,144
somethin',144
fame,144
wet,144
dress,144
benz,144
none,143
fingers,143
ways,142
yesterday,142
unless,142
sayin',142
twenty,142
kanye,141
callin',140
ye,139
point,139
empty,139
strange,139
aye,139
cross,139
knock,139
clouds,138
warm,138
walked,138
stuck,138
songs,138
g,138
boss,138
versace,138
single,137
bar,137
burning,136
weak,136
clean,136
runnin',136
type,135
mom,135
hour,134
faith,134
blues,134
team,134
khaled,134
ahead,133
watching,133
movie,133
c'mon,133
sister,133
shady,133
yeezy,133
fact,132
quit,132
clear,132
sunshine,132
park,132
chain,132
sell,131
mommy,131
south,131
band,131
loud,131
mess,131
john,131
blind,129
wine,129
sir,129
holding,128
sitting,128
answer,128
sight,128
hearts,128
cried,128
less,128
dumb,128
lives,127
sorrow,127
news,127
rush,127
lead,127
jeans,127
plus,126
soft,126
table,126
christmas,126
shots,126
monster,126
uhh,126
handle,125
woah,125
hop,125
seven,125
b,125
needed,125
cali,125
wrote,124
count,124
rolling,124
secret,124
radio,124
later,124
box,124
hes,124
they'll,123
daughter,123
dope,123
u're,123
forgive,122
tongue,122
changed,122
driving,122
changes,122
fish,122
dig,122
deal,122
trouble,121
poor,121
share,121
chest,121
lit,121
d,121
suck,121
icky,121
devil,120
cake,120
mountain,120
race,119
doubt,119
didnt,119
here's,119
que,119
wide,118
crowd,118
edge,118
livin',118
beef,118
return,118
killed,118
slim,118
heat,117
pretend,117
longer,117
tv,117
haters,117
learned,116
waste,116
hours,116
brought,116
happen,116
safe,116
sent,116
class,116
crib,116
spirit,116
harder,115
dry,115
o,115
takin',115
price,115
snow,115
stuff,115
cat,115
talkin,115
r,115
squeeze,114
rings,114
week,114
question,114
having,113
fighting,113
grown,113
blessed,113
short,113
makin',113
glass,113
chains,113
married,112
expect,112
bird,112
places,112
storm,112
hook,112
hungry,111
sunday,111
twice,111
pocket,111
grave,111
store,111
nothin,111
scene,111
thee,111
prove,110
shame,110
lucky,110
country,110
shining,110
anyway,110
mi,110
notorious,110
bounce,110
switch,110
sense,109
feelings,109
ends,109
state,109
realize,109
silver,109
everybody's,109
loose,109
locked,109
vibe,109
crew,109
weezy,109
instead,108
kept,108
bullshit,108
ti,108
lick,108
youll,108
rapper,108
poppa,108
anyone,107
choose,107
rose,107
plan,107
nine,107
fit,107
church,107
figure,106
double,106
begin,106
hanging,106
flowers,106
funky,106
purple,106
smell,106
cream,106
she'll,106
ima,106
guns,105
birds,105
amy,105
nose,105
neck,105
sleeping,104
working,104
repeat,104
zone,104
bite,104
cops,104
glory,103
angels,103
dem,103
hallelujah,103
dying,103
happened,102
moving,102
spent,102
seat,102
marry,102
trip,102
greatest,101
pictures,101
winter,101
wave,101
letter,101
workin',101
special,101
lean,101
bom,101
prince,101
couldnt,101
thinkin',100
ago,100
pack,100
throwing,100
flip,100
tall,99
corner,99
extra,99
limit,99
killing,99
drugs,99
mo,99
tha,99
rule,99
belong,98
dollar,98
worst,98
rules,98
distance,98
heavy,98
girlfriend,98
problem,98
waist,98
whatcha,98
cover,98
somethin,98
america,98
yo',98
saved,97
riding,97
mercy,97
walls,97
trees,97
thoughts,97
feed,97
comin,97
shimmy,97
given,96
case,96
life's,96
early,96
hoo,96
pink,96
bottles,96
problems,96
isn't,95
somehow,95
beyond,95
respect,95
paradise,95
darlin',95
pulled,95
't,95
steady,94
ear,94
plane,94
attention,94
drama,94
faces,94
hammer,94
hill,94
legs,94
except,94
wasnt,94
closer,93
thou,93
whip,93
sold,93
body's,93
grass,93
ship,92
proud,92
leaves,92
finger,92
beauty,92
record,92
bow,92
eight,92
sat,92
doctor,92
shes,92
turning,91
groove,91
bread,91
we'd,91
lying,91
hurts,91
flying,91
drinking,91
dirt,91
jam,91
bells,91
nicki,91
louis,91
clique,91
losing,90
busy,90
bottle,90
coke,90
pants,90
wit',90
pour,89
mark,89
simple,89
turns,89
raise,89
speed,89
food,89
plans,89
someday,89
shawty,89
spin,88
thunder,88
desire,88
kitchen,88
steal,88
memories,88
happiness,88
hurry,88
bank,88
playin',88
romance,88
c,88
asking,87
doors,87
beneath,87
fade,87
breaking,87
voices,87
quiet,87
waitin',87
within,87
brooklyn,87
book,87
fancy,87
sayin,87
american,87
major,87
teach,86
lovers,86
midnight,86
ayo,86
beats,86
doin,86
rat,86
's,86
moved,85
darkness,85
bye,85
dude,85
passed,85
underneath,85
clip,85
nuts,85
radar,85
uptown,85
witcha,85
grew,84
become,84
ghost,84
hole,84
starts,84
bomb,84
aah,84
tough,84
gay,84
slip,84
heads,84
gat,84
jah,84
everything's,83
highway,83
kissed,83
holdin',83
stress,83
dressed,83
rhyme,83
m,83
trick,83
runaway,83
tellin',83
dat,83
cmon,83
laughing,82
whenever,82
dawn,82
dare,82
chase,82
ohh,82
others,82
luck,82
famous,82
jay,82
laid,82
color,82
sounds,82
whose,82
forgot,82
folks,82
livin,82
starting,81
dust,81
missing,81
beside,81
fair,81
likes,81
drinks,81
freaky,81
hat,81
lived,81
chill,81
names,81
camera,81
vietnam,81
piss,80
dropped,80
pride,80
grace,80
survive,80
pieces,80
quite,80
cell,80
messed,80
cats,80
clock,80
there'll,80
arm,80
lil',80
st,80
toes,80
liquor,80
ludacris,80
motherfucking,80
rappers,80
muh,80
thick,79
sees,79
acting,79
golden,79
excuse,79
skies,79
whether,79
sand,79
thang,79
dime,79
foot,79
sweat,79
fate,79
loneliness,79
falls,79
johnny,79
',79
monkey,79
message,79
rockin',79
roof,79
held,79
position,79
yup,79
loot,79
worried,78
remind,78
bones,78
haven't,78
walks,78
weight,78
clap,78
police,78
freedom,78
fantasy,78
ghetto,78
company,78
cock,78
motherfuckin,78
heal,77
evening,77
california,77
tune,77
filled,77
nor,77
hee,77
admit,77
drug,77
bam,77
guitar,76
shoulder,76
lock,76
hi,76
t,76
gas,76
doo,76
judge,76
test,76
action,76
jackson,76
glock,76
oooh,75
calls,75
date,75
build,75
older,75
noise,75
drove,75
began,75
boat,75
mister,75
stopped,75
split,75
coast,75
leader,75
fashion,75
blunts,75
dah,75
willing,74
deserve,74
dough,74
lines,74
melody,74
breathing,74
ocean,74
pockets,74
pimp,74
master,74
wrist,74
jolene,74
whos,74
silly,74
ta,74
alert,74
pum,74
bless,73
threw,73
he'll,73
sip,73
bound,73
east,73
imagine,73
explain,73
evil,73
taught,73
smalls,73
champagne,73
album,73
blew,72
taken,72
claim,72
wherever,72
stood,72
stole,72
climb,72
lifetime,72
bedroom,72
bunch,72
private,72
murder,72
rum,72
triple,72
insane,71
bleed,71
hits,71
walkin',71
mmm,71
player,71
barely,71
dangerous,71
toast,71
worse,71
nervous,71
boots,71
don,71
an',71
mack,71
building,71
jammin',71
cop,71
history,70
knowing,70
honest,70
slowly,70
sheets,70
amazing,70
spread,70
rough,70
f,70
awake,70
hills,70
dad,70
bottoms,70
coat,69
wishing,69
shows,69
memory,69
flower,69
bags,69
holla,69
beginning,69
ate,69
hotel,69
rip,69
e,69
bass,69
bus,69
swallow,69
platinum,69
soldier,69
serve,69
wouldnt,69
blunt,69
hip,69
ym,69
jingalin',69
wondering,68
shouldn't,68
keeping,68
stronger,68
mistakes,68
beg,68
stranger,68
downtown,68
man's,68
machine,68
named,68
je,68
rhythm,67
lesson,67
shy,67
dreaming,67
hollywood,67
aw,67
foreign,67
flame,67
happens,67
toy,67
battle,67
saturday,67
'till,67
gangsta,67
course,67
rocks,67
wheels,67
annie,67
shorty,67
rider,67
mouse,67
woke,66
they've,66
fed,66
asleep,66
melt,66
struggle,66
it'll,66
shoulda,66
closed,66
gucci,66
below,66
billy,66
daddy's,66
sugar,66
truck,66
perhaps,66
titties,66
headed,66
finished,66
bump,66
stack,66
screaming,65
regret,65
shed,65
bigger,65
either,65
guys,65
stare,65
searching,65
sacrifice,65
jail,65
paint,65
horse,65
madly,65
vision,65
order,65
pig,65
strip,65
playa,65
tote,65
swallalala,65
often,64
raised,64
exactly,64
touched,64
age,64
creep,64
satisfied,64
